,x_Bi,x_In,x_Sn,Tm
34,0.64,0.35,0.01,162.0
35,0.63,0.36,0.01,158.0
36,0.62,0.37,0.01,154.0
37,0.61,0.38,0.01,149.5
38,0.6,0.39,0.01,145.5
39,0.59,0.4,0.01,141.0
40,0.58,0.41,0.01,136.5
41,0.57,0.42,0.01,132.0
42,0.56,0.43,0.01,127.0
43,0.55,0.44,0.01,122.5
44,0.54,0.45,0.01,117.5
45,0.53,0.46,0.01,112.5
46,0.52,0.47,0.01,107.5
47,0.51,0.48,0.01,107.5
48,0.5,0.49,0.01,107.5
49,0.49,0.5,0.01,107.5
50,0.48,0.51,0.01,107.5
51,0.47,0.52,0.01,107.0
52,0.46,0.53,0.01,106.5
53,0.45,0.54,0.01,106.0
54,0.44,0.55,0.01,105.0
55,0.43,0.56,0.01,104.0
56,0.42,0.57,0.01,102.5
57,0.41,0.58,0.01,101.5
58,0.4,0.59,0.01,99.5
59,0.39,0.6,0.01,98.0
60,0.38,0.61,0.01,95.5
61,0.37,0.62,0.01,93.5
62,0.36,0.63,0.01,91.0
63,0.35,0.64,0.01,88.5
64,0.34,0.65,0.01,86.5
65,0.33,0.66,0.01,85.66598814348083
66,0.32,0.67,0.01,85.5
67,0.31,0.68,0.01,85.0
68,0.3,0.69,0.01,84.5
69,0.29,0.7,0.01,83.5
70,0.28,0.71,0.01,82.5
71,0.27,0.72,0.01,81.5
72,0.26,0.73,0.01,80.0
73,0.25,0.74,0.01,78.0
74,0.24,0.75,0.01,76.0
75,0.23,0.76,0.01,73.5
76,0.22,0.77,0.01,71.0
77,0.21,0.78,0.01,73.0
78,0.2,0.79,0.01,76.5
79,0.19,0.8,0.01,80.5
80,0.18,0.81,0.01,84.5
81,0.17,0.82,0.01,89.5
82,0.16,0.83,0.01,94.0
83,0.15,0.84,0.01,99.0
84,0.14,0.85,0.01,103.5
85,0.13,0.86,0.01,108.0
86,0.12,0.87,0.01,112.0
87,0.11,0.88,0.01,116.5
88,0.1,0.89,0.01,120.5
89,0.09,0.9,0.01,124.5
90,0.08,0.91,0.01,128.0
91,0.07,0.92,0.01,132.0
92,0.06,0.93,0.01,135.5
93,0.05,0.94,0.01,139.0
94,0.04,0.95,0.01,142.5
95,0.03,0.96,0.01,146.0
96,0.02,0.97,0.01,149.0
97,0.01,0.98,0.01,152.5
197,0.0,0.99,0.010000000000000009,155.5
199,0.98,0.0,0.02,267.5
99,0.97,0.01,0.02,265.0
100,0.96,0.02,0.02,262.5
101,0.95,0.03,0.02,260.5
102,0.94,0.04,0.02,258.0
103,0.93,0.05,0.02,255.5
104,0.92,0.06,0.02,253.0
105,0.91,0.07,0.02,250.5
106,0.9,0.08,0.02,248.0
107,0.89,0.09,0.02,245.0
108,0.88,0.1,0.02,242.5
109,0.87,0.11,0.02,240.0
110,0.86,0.12,0.02,237.0
111,0.85,0.13,0.02,234.5
112,0.84,0.14,0.02,231.5
113,0.83,0.15,0.02,228.5
114,0.82,0.16,0.02,225.5
115,0.81,0.17,0.02,222.5
116,0.8,0.18,0.02,219.5
117,0.79,0.19,0.02,216.5
118,0.78,0.2,0.02,213.5
119,0.77,0.21,0.02,210.0
120,0.76,0.22,0.02,207.0
121,0.75,0.23,0.02,203.5
122,0.74,0.24,0.02,200.0
123,0.73,0.25,0.02,196.5
124,0.72,0.26,0.02,193.0
125,0.71,0.27,0.02,189.5
126,0.7,0.28,0.02,186.0
127,0.69,0.29,0.02,182.5
