sample,w_Bi,w_In,w_Sn,x_Bi,x_In,x_Sn,T_m_excel,T_m_script
sample_1,4.228,0.773,0.0,0.7503223876952182,0.24967761230478186,0.0,199.1,188.4
sample_2,3.225,1.77,0.0,0.500270133672598,0.4997298663274021,0.0,99.6,109.4
sample_3,1.884,3.107,0.0,0.24990231876570015,0.7500976812343,0.0,87.9,79.4
sample_4,4.203,0.0,0.796,0.7499601261838871,0.0,0.2500398738161129,216.4,204.6
sample_5,3.188,0.0,1.804,0.5009580812641622,0.0,0.49904191873583786,151.1,134.3
sample_6,1.847,0.0,3.153,0.24967494098617274,0.0,0.7503250590138272,182.2,171.4
sample_7,0.0,3.712,1.28,0.0,0.7498905417150425,0.2501094582849575,133.5,183.7
sample_8,0.0,2.462,2.543,0.0,0.500236850144342,0.49976314985565795,121.7,119.6
sample_9,0.0,1.218,3.794,0.0,0.249198255283818,0.750801744716182,190.5,185.3
sample_10,2.361,1.293,1.322,0.33529183633028126,0.33420481258402174,0.33050335108569695,96.5,96.9
