sample,w_Bi,w_In,w_Sn,x_Bi,x_In,x_Sn,T_m_excel,T_m_script
sample_1,4.226,0.779,0.0,0.7487820912516396,0.2512179087483605,0.0,189.4,189.1
sample_2,3.227,1.78,0.0,0.4990166712425961,0.5009833287574039,0.0,96.5,108.7
sample_3,1.884,3.117,0.0,0.24930045300538475,0.7506995469946154,0.0,93.1,84.5
sample_4,4.207,0.0,0.781,0.7536871571738734,0.0,0.24631284282612673,208.1,204.2
sample_5,3.1906,0.0,1.8057,0.5009264112160248,0.0,0.4990735887839753,137.6,136.5
sample_6,1.876,0.0,3.1418,0.2532772846865078,0.0,0.7467227153134922,168.3,167.9
sample_7,0.0,3.716,1.284,0.0,0.749507149065566,0.25049285093443396,144.9,131.5
sample_8,0.0,2.4626,2.5406,0.0,0.5005338218210126,0.49946617817898736,121.7,120.3
sample_9,0.0,1.2066,3.7794,0.0,0.2481616634094335,0.7518383365905664,188.2,183.9
sample_10,2.392,1.278,1.333,0.33858524842715015,0.3292493251995667,0.33216542637328317,100.4,98.5
