ベンダ,GRAPHTEC Corporation,,,,,,,,,,,,,,
モデル,GL260,,,,,,,,,,,,,,
バージョン,Ver1.03  ,,,,,,,,,,,,,,
最大CH数,10,,,,,,,,,,,,,,
WL開始CH,10,,,,,,,,,,,,,,
演算開始CH,10,,,,,,,,,,,,,,
最大ロジックCH数,4,,,,,,,,,,,,,,
最大演算CH数,10,,,,,,,,,,,,,,
Logic/Pulse,Off,,,,,,,,,,,,,,
温度単位,C,,,,,,,,,,,,,,
測定間隔,1s,,,,,,,,,,,,,,
測定点数,880,,,,,,,,,,,,,,
トリガ点,0,,,,,,,,,,,,,,
開始時刻,2026/04/14,14:43:23,,,,,,,,,,,,,
19,2026/04/14 14:43,0,292.3,278.3,276.4,23.8,27.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
20,2026/04/14 14:43,0,293.2,280.2,277.7,23.7,27.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
21,2026/04/14 14:43,0,294.2,281.9,279.1,23.7,27.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
22,2026/04/14 14:43,0,295.1,283.5,280.4,23.7,27.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
23,2026/04/14 14:43,0,296,285.1,281.4,23.7,27.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
24,2026/04/14 14:43,0,296.9,286.6,282.5,23.6,27.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
25,2026/04/14 14:43,0,297.6,288,283.6,23.6,27.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
26,2026/04/14 14:43,0,298.4,289.4,284.6,23.6,27.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
27,2026/04/14 14:43,0,299.2,290.6,285.6,23.6,27.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
28,2026/04/14 14:43,0,299.9,291.8,286.5,23.6,27.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
29,2026/04/14 14:43,0,300.6,293,287.3,23.6,27.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
30,2026/04/14 14:43,0,301.4,294.1,288.3,23.6,27.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
31,2026/04/14 14:43,0,302,295.2,289,23.6,27.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
32,2026/04/14 14:43,0,302.8,296.3,289.8,23.6,27.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
33,2026/04/14 14:43,0,303.4,297.3,290.6,23.6,27.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
34,2026/04/14 14:43,0,304.1,298.2,291.4,23.6,27.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
35,2026/04/14 14:43,0,304.8,299.1,292.2,23.6,27.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
36,2026/04/14 14:43,0,305.5,300,292.9,23.6,27.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
37,2026/04/14 14:43,0,305.9,300.9,293.6,23.6,27.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
38,2026/04/14 14:44,0,306.4,301.7,294.3,23.6,27.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
39,2026/04/14 14:44,0,306.8,302.6,294.9,23.6,27.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
40,2026/04/14 14:44,0,307.3,303.4,295.5,23.6,27.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
41,2026/04/14 14:44,0,307.8,304.1,296.3,23.6,27.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
42,2026/04/14 14:44,0,308.2,304.9,296.8,23.6,27.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
43,2026/04/14 14:44,0,308.7,305.6,297.3,23.6,27.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
44,2026/04/14 14:44,0,309.2,306.3,297.9,23.5,27,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
45,2026/04/14 14:44,0,309.6,307,298.5,23.6,27.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
46,2026/04/14 14:44,0,310,307.7,299,23.6,27,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
47,2026/04/14 14:44,0,310.5,308.4,299.6,23.5,27,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
48,2026/04/14 14:44,0,310.9,309.1,300.2,23.6,27,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
49,2026/04/14 14:44,0,311.4,309.7,300.6,23.6,27,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
50,2026/04/14 14:44,0,311.9,310.4,301.2,23.5,26.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
51,2026/04/14 14:44,0,312.3,311,301.7,23.5,26.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
52,2026/04/14 14:44,0,312.7,311.6,302.1,23.5,26.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
53,2026/04/14 14:44,0,313.2,312.3,302.7,23.5,26.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL,
